City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
201,Axim,GH,76.95,few clouds,4.8699,-2.2405,Axim Beach Resort And Spa
208,Mineiros,BR,72.3,few clouds,-17.5694,-52.5511,Pilões Palace Hotel
214,Alice Springs,AU,76.55,clear sky,-23.7,133.8833,Desert Palms Alice Springs
216,Noumea,NC,80.58,broken clouds,-22.2763,166.4572,Hôtel Le Lagon
218,Nisia Floresta,BR,77.81,few clouds,-6.0911,-35.2086,Rancho Crepusculo
221,Allacapan,PH,84.04,broken clouds,18.226,121.5562,Hayara Hotel
222,Kieta,PG,85.57,broken clouds,-6.2167,155.6333,Uruna Bay Retreat
224,Cabo San Lucas,MX,75.51,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
225,Passo De Camaragibe,BR,76.55,overcast clouds,-9.2368,-35.4901,Racho do Zé
227,Florianopolis,BR,70.83,light rain,-27.6146,-48.5012,Hotel Boutique Quinta das Videiras
232,Areia Branca,BR,79.41,broken clouds,-4.9561,-37.1369,Areia Branca Apart Hotel
234,Lingao,CN,79.86,few clouds,19.9103,109.6859,Lingao Ditai Inn
236,Salalah,OM,73.49,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
237,Kalmunai,LK,77.92,moderate rain,7.4167,81.8167,VS Villa
238,Cruzeiro Do Sul,BR,72.48,overcast clouds,-29.5128,-51.9853,Estrela Palace Hotel
243,Abu Dhabi,AE,80.96,clear sky,24.4667,54.3667,Beach Rotana
246,Kahului,US,82.42,few clouds,20.8947,-156.47,Maui Seaside Hotel
247,Kavieng,PG,85.39,light rain,-2.5744,150.7967,Nusa Island Retreat
250,Alofi,NU,80.49,broken clouds,-19.0595,-169.9187,Taloa Heights
252,Katobu,ID,85.87,broken clouds,-4.9408,122.5276,La Ode Husein
258,Port Hedland,AU,84.25,clear sky,-20.3167,118.5667,The Esplanade Hotel
259,Karratha,AU,85.3,clear sky,-20.7377,116.8463,ibis Styles Karratha
261,Veraval,IN,75.25,clear sky,20.9,70.3667,Lords Inn Somnath
263,Hobyo,SO,79.45,light rain,5.3505,48.5268,Halane Hotel and Restaurent
264,Sumbe,AO,72.75,clear sky,-11.2061,13.8437,Hotel Ritz Sumbe
267,Yulara,AU,74.7,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
268,Kulhudhuffushi,MV,81.14,overcast clouds,6.6221,73.07,Haajy Guest House 1
