City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Kisangani,CD,0.5167,25.2,67.68,94,81,1.81,broken clouds
80,Aitape,PG,-3.1374,142.3475,80.87,84,100,4.68,moderate rain
81,Ilulissat,GL,69.2167,-51.1,37.42,44,20,8.05,few clouds
82,Jadu,LY,31.953,12.0261,52.84,55,0,2.19,clear sky
83,Lashio,MM,22.9333,97.75,66.83,67,0,1.28,clear sky
84,Victoria,HK,22.2855,114.1577,80.19,81,78,11.99,broken clouds
85,Port Elizabeth,ZA,-33.918,25.5701,52.11,83,0,5.88,clear sky
86,Krasnoturansk,RU,54.3186,91.5639,37.49,60,100,10.98,overcast clouds
87,Turan,VN,16.0678,108.2208,82.38,78,40,9.22,scattered clouds
88,Paamiut,GL,61.994,-49.6678,32.38,86,100,27.83,overcast clouds
89,Mozarlandia,BR,-14.7447,-50.5706,78.44,60,18,5.64,few clouds
90,Port Macquarie,AU,-31.4333,152.9167,80.89,60,87,6.29,overcast clouds
91,Pangnirtung,CA,66.1451,-65.7125,5.88,90,63,6.51,broken clouds
92,Avarua,CK,-21.2078,-159.775,77.05,57,40,12.66,scattered clouds
93,Jalu,LY,29.0331,21.5482,61.2,44,59,6.91,broken clouds
94,Teahupoo,PF,-17.8333,-149.2667,69.76,85,100,10.13,overcast clouds
95,Along,IN,28.1667,94.7667,64.22,56,6,1.3,clear sky
96,Kaeo,NZ,-35.1,173.7833,71.33,66,14,5.12,few clouds
97,Camacari,BR,-12.6975,-38.3242,80.37,93,99,4.7,overcast clouds
98,Rafraf,TN,37.1904,10.1837,63.14,71,53,7.78,broken clouds
99,Sudbury,CA,46.49,-80.99,26.06,74,8,7.0,clear sky
100,Jamestown,US,42.097,-79.2353,35.19,76,100,11.5,overcast clouds
101,Yar-Sale,RU,66.8333,70.8333,0.54,89,100,9.55,overcast clouds
102,Fairview,US,40.8126,-73.999,44.47,62,0,16.11,clear sky
103,Rapar,IN,23.5667,70.6333,72.81,43,0,3.09,clear sky
104,Touros,BR,-5.1989,-35.4608,77.88,82,30,10.6,scattered clouds
105,Lagoa,PT,39.05,-27.9833,64.62,87,100,30.11,overcast clouds
106,Nsukka,NG,6.8561,7.3927,69.42,80,43,1.48,scattered clouds
107,Saint-Augustin,CA,51.226,-58.6502,27.95,45,99,4.54,overcast clouds
108,Iqaluit,CA,63.7506,-68.5145,16.7,85,100,3.0,overcast clouds
109,Praia Da Vitoria,PT,38.7333,-27.0667,64.76,91,100,18.75,overcast clouds
110,Kodiak,US,57.79,-152.4072,42.31,65,75,11.5,light rain
111,Waingapu,ID,-9.6567,120.2641,86.76,66,77,5.55,broken clouds
112,Tabas,IR,33.5959,56.9244,50.27,52,0,3.13,clear sky
113,Port Alfred,ZA,-33.5906,26.891,55.18,90,11,8.12,few clouds
114,Ahipara,NZ,-35.1667,173.1667,67.03,63,0,10.87,clear sky
115,Carnarvon,AU,-24.8667,113.6333,81.09,29,0,11.01,clear sky
116,Nuuk,GL,64.1835,-51.7216,30.81,93,100,10.36,overcast clouds
117,Korla,CN,41.7597,86.1469,34.93,53,0,3.83,clear sky
118,Darhan,MN,49.4867,105.9228,23.56,48,6,4.38,clear sky
119,Bielsk Podlaski,PL,52.7651,23.1865,44.26,94,93,5.88,overcast clouds
120,Kampong Chhnang,KH,12.1667,104.55,79.86,82,100,4.81,overcast clouds
121,Ratnagiri,IN,16.9833,73.3,76.42,60,10,6.49,clear sky
122,Bluff,NZ,-46.6,168.3333,57.13,76,60,16.78,broken clouds
123,Narsaq,GL,60.9167,-46.05,35.83,63,100,10.83,overcast clouds
124,Seoul,KR,37.5683,126.9778,52.99,68,99,6.93,overcast clouds
125,Suez,EG,29.9737,32.5263,66.15,82,0,9.26,clear sky
126,Dakar,SN,14.6937,-17.4441,76.08,68,63,13.11,broken clouds
127,Almaznyy,RU,48.0448,40.045,39.07,77,6,14.5,clear sky
128,Paredon,MX,16.0333,-93.8667,79.74,67,7,15.7,clear sky
129,Bassila,BJ,9.0081,1.6654,77.04,67,100,1.99,overcast clouds
130,Hambantota,LK,6.1241,81.1185,78.22,81,100,3.78,overcast clouds
131,Bilibino,RU,68.0546,166.4372,1.89,97,100,1.92,snow
132,Bathsheba,BB,13.2167,-59.5167,81.21,83,40,16.11,scattered clouds
133,Mahibadhoo,MV,3.7833,72.9667,77.47,89,100,22.17,moderate rain
134,Kapaa,US,22.0752,-159.319,79.12,75,20,17.27,few clouds
135,Ormara,PK,25.2088,64.6357,79.77,49,0,9.64,clear sky
136,Adrar,MR,20.5022,-10.0711,70.47,17,5,9.93,clear sky
137,Turukhansk,RU,65.8167,87.9833,-10.77,71,8,11.18,clear sky
138,Mount Isa,AU,-20.7333,139.5,85.77,58,75,8.05,broken clouds
139,La Plata,AR,-34.9215,-57.9545,68.04,96,100,9.22,light rain
140,Hobart,AU,-42.8794,147.3294,58.86,93,75,19.57,light rain
141,Susuman,RU,62.7833,148.1667,-22.92,97,82,1.61,broken clouds
142,Haines Junction,CA,60.7522,-137.5108,32.18,96,67,6.2,light snow
143,Fairbanks,US,64.8378,-147.7164,37.74,78,75,6.91,broken clouds
144,Carauari,BR,-4.8828,-66.8958,78.19,79,97,2.3,overcast clouds
145,Maturin,VE,9.75,-63.1767,74.07,96,34,4.83,scattered clouds
146,North Bend,US,43.4065,-124.2243,44.92,91,0,4.61,clear sky
147,Hasaki,JP,35.7333,140.8333,63.28,57,95,23.04,overcast clouds
148,Pacific Grove,US,36.6177,-121.9166,54.43,77,0,10.0,clear sky
149,Batemans Bay,AU,-35.7167,150.1833,70.11,41,0,15.39,clear sky
150,Guican,CO,6.4618,-72.4113,50.4,95,100,1.74,overcast clouds
151,Cherskiy,RU,68.75,161.3,-7.02,99,98,3.69,overcast clouds
152,Cartagena,CO,10.3997,-75.5144,80.22,83,40,2.3,scattered clouds
153,Udachnyy,RU,66.4167,112.4,-24.56,74,100,4.54,overcast clouds
154,Qaqortoq,GL,60.7167,-46.0333,33.3,71,100,8.61,overcast clouds
155,Samarai,PG,-10.6167,150.6667,83.88,74,56,9.69,broken clouds
156,Perene,PE,-10.9492,-75.2261,70.9,97,100,2.17,overcast clouds
157,San Carlos De Bariloche,AR,-41.1456,-71.3082,45.36,92,92,6.42,overcast clouds
158,Bambous Virieux,MU,-20.3428,57.7575,73.22,78,49,3.8,light rain
159,Arraial Do Cabo,BR,-22.9661,-42.0278,73.72,93,74,16.17,broken clouds
160,Tezu,IN,27.9167,96.1667,70.54,42,0,0.78,clear sky
161,Topchikha,RU,52.8192,83.1185,34.2,73,99,20.6,overcast clouds
162,Shimoda,JP,34.6667,138.95,62.1,63,89,15.26,overcast clouds
163,Moen,NO,69.1304,18.6123,32.72,100,75,2.3,fog
164,Kruisfontein,ZA,-34.0033,24.7314,49.89,77,0,4.81,clear sky
165,Radenci,SI,46.642,16.0378,47.08,91,35,0.54,scattered clouds
166,Jalingo,NG,8.8833,11.3667,75.45,37,4,5.41,clear sky
167,Thompson,CA,55.7435,-97.8558,2.82,98,41,3.47,scattered clouds
168,Upernavik,GL,72.7868,-56.1549,20.07,86,100,16.6,overcast clouds
169,Bagdarin,RU,54.4333,113.6,13.96,71,69,1.54,broken clouds
170,Straza,SI,45.78,15.0728,48.24,96,20,0.6,few clouds
171,Shumyachi,RU,53.8583,32.4242,39.9,68,98,11.41,overcast clouds
172,Mayya,RU,61.7333,130.2811,-26.28,97,100,2.37,overcast clouds
